tax_period_end_date,tax_period_start_date,ein,return_type_code,year,investment_income,gross_rent_income,royalties_income,sale_of_assets_income,investment_management_fees,royalties_expenses,revenue_government_grants,cy_endowment_beginning_balance,cy_endowment_contributions,cy_endowment_net_investment_earnings,cy_endowment_grants_scholarships,cy_endowment_other_expenditures,cy_endowment_admin_expenses,cy_endowment_end_balance,reference_link
2019-05-31,2018-06-01,04-2103545,990,2018,35563847,-1295217,946692,130743355,18655432,0,35066988,2567405000,45368000,-22123000,35048000,78967000,2506000,2474129000,https://projects.propublica.org/nonprofits/download-xml?object_id=202041069349301114
2018-05-31,2017-06-01,04-2103545,990,2017,29865024,-1251104,656917,159147716,17395677,0,33431404,2400473000,32545000,245387000,32394000,76099000,2507000,2567405000,https://projects.propublica.org/nonprofits/download-xml?object_id=201931059349300828
2017-05-31,2016-06-01,04-2103545,990,2016,25505951,-1396896,452204,83069368,16823155,0,32513534,2195667000,33086000,278834000,31250000,73575000,2289000,2400473000,https://projects.propublica.org/nonprofits/download-xml?object_id=201841039349300904
2016-05-31,2015-06-01,04-2103545,990,2015,24273686,-981664,496023,89293332,15611820,0,29212825,2345990000,53622000,-99775000,28831000,72651000,2688000,2195667000,https://projects.propublica.org/nonprofits/download-xml?object_id=201741089349300319
2015-05-31,2014-06-01,04-2103545,990,2014,23350896,-3074128,556010,109173532,13726360,0,26274833,2198282000,88693000,155877000,26467000,68357000,2038000,2345990000,https://projects.propublica.org/nonprofits/download-xml?object_id=201641069349300214
2014-05-31,2013-06-01,04-2103545,990,2013,18687773,-2624491,498947,104938157,13166826,0,26284634,1981349000,61865000,244280000,21871000,65563000,1778000,2198282000,https://projects.propublica.org/nonprofits/download-xml?object_id=201501049349300535
,,04-2103545,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201431009349300703
2023-06-30,2022-07-01,04-2104847,990,2022,1712736,-941170,,174118620,,,6608404,3327362573,24733810,98921081,38022809,112353615,6696311,3293944729,https://projects.propublica.org/nonprofits/download-xml?object_id=202431359349305018
2022-06-30,2021-07-01,04-2104847,990,2021,308574,-1141285,,339895235,,,9186342,3893861246,16930533,-417231484,44904769,112119589,9173364,3327362573,https://projects.propublica.org/nonprofits/download-xml?object_id=202301329349308795
2021-06-30,2020-07-01,04-2104847,990,2020,281538,-1458492,,215972996,,,5298751,2713287856,25098149,1295832385,22296237,111363410,6697497,3893861246,https://projects.propublica.org/nonprofits/download-xml?object_id=202231339349307013
2020-06-30,2019-07-01,04-2104847,990,2019,634155,-1152021,,145218129,,,2236499,2729896193,31790239,86454800,37181396,91328534,6343446,2713287856,https://projects.propublica.org/nonprofits/download-xml?object_id=202101379349305700
2019-06-30,2018-07-01,04-2104847,990,2018,985286,-1437486,,250669459,,,1634750,2612003491,43061074,243206573,29649127,131065159,7660661,2729896191,https://projects.propublica.org/nonprofits/download-xml?object_id=202001369349304135
2018-06-30,2017-07-01,04-2104847,990,2017,593983,2109805,0,167019378,0,0,2125669,2437568565,28249560,311454291,22758502,77012257,7016925,2670484732,https://projects.propublica.org/nonprofits/download-xml?object_id=201931349349303158
2017-06-30,2016-07-01,04-2104847,990,2016,416320,2060005,0,17420919,0,0,2380614,2206607150,31960094,303172136,25627014,72291934,6251867,2437568565,https://projects.propublica.org/nonprofits/download-xml?object_id=201841349349303764
2016-06-30,2015-07-01,04-2104847,990,2015,397759,1860286,0,130512094,0,0,2299725,2343516277,25914486,-35220177,24661307,98014290,4927839,2206607150,https://projects.propublica.org/nonprofits/download-xml?object_id=201721319349303837
2015-06-30,2014-07-01,04-2104847,990,2014,467591,1866990,27508,228547072,0,0,2458985,2146252925,99282688,213600715,21630783,87704016,6285252,2343516277,https://projects.propublica.org/nonprofits/download-xml?object_id=201641379349305399
2014-06-30,2013-07-01,04-2104847,990,2013,566586,1687019,0,153071187,0,0,1532535,1889182032,27395128,332991623,20156756,77580817,5578285,2146252925,https://projects.propublica.org/nonprofits/download-xml?object_id=201501359349302875
,,04-2104847,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201421349349306697
2023-06-30,2022-07-01,53-0196603,990,2022,46360801,4421631,2698974,50133297,4527065,14821,190298799,3210031896,113928140,147468760,31003693,130843899,10611429,3298969775,https://projects.propublica.org/nonprofits/download-xml?object_id=202411369349310111
2022-06-30,2021-07-01,53-0196603,990,2021,27469902,3100750,2240169,171793072,5720970,717409,232443555,2592048284,899155944,-127905052,28197771,116619727,8449782,3210031896,https://projects.propublica.org/nonprofits/download-xml?object_id=202331359349301653
2021-06-30,2020-07-01,53-0196603,990,2020,115032189,2192606,1039405,94244935,3069890,343126,188727888,1863710904,120943798,721639984,26982400,83004065,4259937,2592048284,https://projects.propublica.org/nonprofits/download-xml?object_id=202201369349301140
2020-06-30,2019-07-01,53-0196603,990,2019,115799952,5305958,1080746,52990569,3365678,447132,135973442,1822484263,143833784,7526913,25014017,80790907,4329132,1863710904,https://projects.propublica.org/nonprofits/download-xml?object_id=202141349349304119
2019-06-30,2018-07-01,53-0196603,990,2018,106574245,8861701,1210201,90468082,3758804,488332,130034837,1769557429,163784659,-11911398,22519065,71977851,4449511,1822484263,https://projects.propublica.org/nonprofits/download-xml?object_id=202001979349300735
2018-06-30,2017-07-01,53-0196603,990,2017,94413668,3781750,1223800,74970612,0,477192,119213796,1661745430,56297805,142983152,20475011,66410934,4583013,1769557429,https://projects.propublica.org/nonprofits/download-xml?object_id=201921359349301397
2017-06-30,2016-07-01,53-0196603,990,2016,87660560,3310689,5167599,98943649,0,563039,119789532,1483502000,38261345,226311282,19098185,63089152,4141860,1661745430,https://projects.propublica.org/nonprofits/download-xml?object_id=201831359349305763
2016-06-30,2015-07-01,53-0196603,990,2015,80717791,3451918,3293734,46374763,0,1085939,126529474,1528868601,88817292,-55373872,17268099,58848971,2692951,1483502000,https://projects.propublica.org/nonprofits/download-xml?object_id=201731359349306803
2015-06-30,2014-07-01,53-0196603,990,2014,74846193,3893680,4634382,54531676,0,626154,171304742,1461276352,86243156,54226881,15429949,54547547,2900292,1528868601,https://projects.propublica.org/nonprofits/download-xml?object_id=201623489349300937
2014-06-30,2013-07-01,53-0196603,990,2013,88266065,3873626,5467059,51682092,0,632508,164507847,1286321977,60563873,185489687,16321197,52212391,2565597,1461276352,https://projects.propublica.org/nonprofits/download-xml?object_id=201501359349306050
,,53-0196603,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201401359349308645
2023-06-30,2022-07-01,04-2103542,990,2022,30081110,-88515,482474,131052111,49907255,81452,10021969,3758812672,8486911,216326006,35396642,118693488,49234364,3780301095,https://projects.propublica.org/nonprofits/download-xml?object_id=202401369349308800
2022-06-30,2021-07-01,04-2103542,990,2021,34066156,-42920,560134,332026262,47499119,80342,5776522,4300531130,27637614,-366559937,31438697,123858319,47499119,3758812672,https://projects.propublica.org/nonprofits/download-xml?object_id=202321359349317787
2021-06-30,2020-07-01,04-2103542,990,2020,25706704,-553562,263405,316941203,56063828,62285,2999555,2920494006,22710434,1558216605,29170697,107047350,64671868,4300531130,https://projects.propublica.org/nonprofits/download-xml?object_id=202221369349309097
2020-06-30,2019-07-01,04-2103542,990,2019,25947921,-219015,430800,184738319,50009318,146063,3948181,2834560524,40108241,241101788,29175071,113544782,52556694,2920494006,https://projects.propublica.org/nonprofits/download-xml?object_id=202111379349307831
2019-06-30,2018-07-01,04-2103542,990,2018,21956753,-55205,347243,167125808,42644647,112920,3279778,2730457710,36374365,266451383,27017069,126559026,45146839,2834560524,https://projects.propublica.org/nonprofits/download-xml?object_id=202041979349305184
2018-06-30,2017-07-01,04-2103542,990,2017,20428621,47139,359026,147802967,38380951,112177,3060771,2582167326,9539445,318881870,25705466,113534651,40890814,2730457710,https://projects.propublica.org/nonprofits/download-xml?object_id=201911359349310511
2017-06-30,2016-07-01,04-2103542,990,2016,19265735,-100828,366418,128529714,36343705,77687,2915728,2335038930,6721042,419631696,24367889,116430860,38425593,2582167326,https://projects.propublica.org/nonprofits/download-xml?object_id=201821359349309447
2016-06-30,2015-07-01,04-2103542,990,2015,32796930,225693,339073,126172440,35374830,0,3163365,2522356738,9541532,-47269906,24194082,88159138,37236214,2335038930,https://projects.propublica.org/nonprofits/download-xml?object_id=201731359349306568
2015-06-30,2014-07-01,04-2103542,990,2014,31501680,281976,455392,207495549,33897213,0,3739716,2472706177,10416616,180976931,22367769,83660765,35717452,2522353738,https://projects.propublica.org/nonprofits/download-xml?object_id=201621379349306312
2014-06-30,2013-07-01,04-2103542,990,2013,54233608,72208,286725,164435414,42604549,,2673393,2105519441,34254078,468227787,20877097,70301497,44116535,2472706177,https://projects.propublica.org/nonprofits/download-xml?object_id=201541359349302724
,,04-2103542,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201431349349304418
2023-06-30,2022-07-01,04-2103547,990,2022,59108131,6429895,3416888,66494880,1891787,2065251,431418964,2973352000,127308419,138932059,27639048,65327653,8299777,3138326000,https://projects.propublica.org/nonprofits/download-xml?object_id=202431369349307023
2022-06-30,2021-07-01,04-2103547,990,2021,20025305,16043464,3487018,137194849,3848532,1300895,482335223,3392513000,62460046,-387169121,25075971,59489634,9886320,2973352000,https://projects.propublica.org/nonprofits/download-xml?object_id=202311359349304581
2021-06-30,2020-07-01,04-2103547,990,2020,16648247,11324091,3149092,238092076,4972413,1247390,452037194,2421115000,80427257,981004273,23693212,56172716,10167602,3392513000,https://projects.propublica.org/nonprofits/download-xml?object_id=202231339349304643
2020-06-30,2019-07-01,04-2103547,990,2019,38797720,23360638,1656936,45039884,2197479,807605,378265743,2292537000,42034734,169262496,22071059,53098001,7550170,2421115000,https://projects.propublica.org/nonprofits/download-xml?object_id=202131349349306623
2019-06-30,2018-07-01,04-2103547,990,2018,44051607,15254069,1492202,90657210,3154952,711158,346198324,2128183005,101819085,142075738,20661758,50550131,8328939,2292537000,https://projects.propublica.org/nonprofits/download-xml?object_id=202011369349303686
2018-06-30,2017-07-01,04-2103547,990,2017,32236070,15402704,3718361,90316623,3043395,1244381,307052406,1901152882,127245589,171346295,18565345,45447184,7549232,2128183005,https://projects.propublica.org/nonprofits/download-xml?object_id=201911359349311616
2017-06-30,2016-07-01,04-2103547,990,2016,70029761,16166321,3526361,58465065,2244332,906438,281971878,1593186499,160802323,211456207,17591210,39762970,6937967,1901152882,https://projects.propublica.org/nonprofits/download-xml?object_id=201841319349304449
2016-06-30,2015-07-01,04-2103547,990,2015,59999546,16400717,1993130,50458420,2602390,407596,275059031,1576594417,107883764,-33644386,16360403,35000932,6285961,1593186499,https://projects.propublica.org/nonprofits/download-xml?object_id=201731319349301523
2015-06-30,2014-07-01,04-2103547,990,2014,55912183,17861892,2141793,-41700725,3061324,453143,283391826,1547493496,51729011,32600137,14455011,34080533,6692683,1576594417,https://projects.propublica.org/nonprofits/download-xml?object_id=201631349349307653
2014-06-30,2013-07-01,04-2103547,990,2013,49173592,21146428,16456005,52157738,2028887,10176850,290406741,1335661496,44714899,218204659,14560244,31133213,5394101,1547493496,https://projects.propublica.org/nonprofits/download-xml?object_id=201521339349305547
,,04-2103547,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201411349349307996
2023-06-30,2022-07-01,54-0505965,990,2022,162140518,0,133977,-4011149,0,0,2877012,3153393405,15407696,140267250,,141081762,52191,3167934398,https://projects.propublica.org/nonprofits/download-xml?object_id=202431349349307603
2022-06-30,2021-07-01,54-0505965,990,2021,147964453,0,74068,198392941,0,0,10239046,3351493103,31730833,-96596845,,132844453,389233,3153393405,https://projects.propublica.org/nonprofits/download-xml?object_id=202331359349300218
2021-06-30,2020-07-01,54-0505965,990,2020,149439515,0,50770,275169796,0,0,9250421,2405601975,16290823,1055635119,,127837155,-1802341,3351493103,https://projects.propublica.org/nonprofits/download-xml?object_id=202241369349305754
2020-06-30,2019-07-01,54-0505965,990,2019,142827257,0,68733,33148916,0,0,4452290,2513208708,17564082,2110817,,127528843,-247211,2405601975,https://projects.propublica.org/nonprofits/download-xml?object_id=202141379349309114
2019-06-30,2018-07-01,54-0505965,990,2018,148437516,0,57342,46734096,0,0,3024727,2506098366,8218762,115366868,,116370216,105072,2513208708,https://projects.propublica.org/nonprofits/download-xml?object_id=202021979349305067
2018-06-30,2017-07-01,54-0505965,990,2017,144876781,0,76821,26977679,0,0,2776706,2373505908,7493970,237714357,,119319615,6703745,2492690875,https://projects.propublica.org/nonprofits/download-xml?object_id=201941349349307889
2017-06-30,2016-07-01,54-0505965,990,2016,135291817,3334479,45557,83784599,0,0,3006952,2164442207,3072357,285866999,,58242108,64553,2395074902,https://projects.propublica.org/nonprofits/download-xml?object_id=201801349349309590
2016-06-30,2015-07-01,54-0505965,990,2015,124011531,3555313,67015,18418366,0,0,3209913,2382914693,6414698,-89919766,,135127849,-160431,2164442207,https://projects.propublica.org/nonprofits/download-xml?object_id=201711329349304101
2015-06-30,2014-07-01,54-0505965,990,2014,114429994,3485602,64862,-37929439,0,0,3011282,2349468126,10853584,138688911,,116116208,-20280,2382914693,https://projects.propublica.org/nonprofits/download-xml?object_id=201631379349303783
2014-06-30,2013-07-01,54-0505965,990,2013,123972244,3382298,56837,48085307,0,0,3306647,2038585053,18661356,339508185,,47148938,137530,2349468126,https://projects.propublica.org/nonprofits/download-xml?object_id=201531349349308018
,,54-0505965,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201401349349300310
2023-06-30,2022-07-01,04-2103637,990,2022,21372571,,,119642615,158590,1500,5923232,2846864931,43749570,108025943,53816843,55954050,,2888869551,https://projects.propublica.org/nonprofits/download-xml?object_id=202441359349302624
2022-06-30,2021-07-01,04-2103637,990,2021,11475794,,,206829067,198571,1300,9652437,3236785461,23310440,-306875113,48331934,58023923,,2846864931,https://projects.propublica.org/nonprofits/download-xml?object_id=202331359349311153
2021-06-30,2020-07-01,04-2103637,990,2020,6283101,,,280814974,167873,2185,7903375,2285397056,21401639,1026472781,44409376,52076639,,3236785461,https://projects.propublica.org/nonprofits/download-xml?object_id=202231339349307788
2020-06-30,2019-07-01,04-2103637,990,2019,9537779,0,0,71967252,159254,4220,5552193,2173415000,28649118,176478722,48838336,44307448,,2285397056,https://projects.propublica.org/nonprofits/download-xml?object_id=202101359349301585
2019-06-30,2018-07-01,04-2103637,990,2018,11581996,0,0,128894293,163479,0,4313992,2105211700,25614153,137048791,46965425,47494219,,2173415000,https://projects.propublica.org/nonprofits/download-xml?object_id=202041969349301239
2018-06-30,2017-07-01,04-2103637,990,2017,1940884,,,38916477,364957,,4901872,1930751111,54445964,205996958,37551792,48430541,,2105211700,https://projects.propublica.org/nonprofits/download-xml?object_id=201931359349304273
2017-06-30,2016-07-01,04-2103637,990,2016,13802574,,,72615399,421362,1976625,4491448,1784479646,0,230695137,41236924,43186748,,1930751111,https://projects.propublica.org/nonprofits/download-xml?object_id=201811359349305516
2016-06-30,2015-07-01,04-2103637,990,2015,12641952,,,23444823,594962,,6032280,1881030003,19077480,-32224819,40835838,42567180,,1784479646,https://projects.propublica.org/nonprofits/download-xml?object_id=201741359349302494
2015-06-30,2014-07-01,04-2103637,990,2014,13751596,0,0,169497586,542537,0,3862886,1834136919,28253254,100454799,,81814969,,1881030003,https://projects.propublica.org/nonprofits/download-xml?object_id=201611339349300836
2014-06-30,2013-07-01,04-2103637,990,2013,19244242,0,0,276069150,454443,0,4886846,1576336888,54231950,285054954,,81486873,,1834136919,https://projects.propublica.org/nonprofits/download-xml?object_id=201501349349302640
,,04-2103637,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201421339349301502
2023-06-30,2022-07-01,95-1664112,990,2022,47670406,811488,464,33131251,13297352,,3474041,2764971820,14348586,125116465,55234189,38882988,13297353,2797022341,https://projects.propublica.org/nonprofits/download-xml?object_id=202421369349306222
2022-06-30,2021-07-01,95-1664112,990,2021,37328565,538037,88937,304270229,7974348,,4863186,3031447003,14162426,-175679397,52383929,44599935,7974348,2764971820,https://projects.propublica.org/nonprofits/download-xml?object_id=202331359349316888
2021-06-30,2020-07-01,95-1664112,990,2020,23061728,279649,79350,107597465,6526476,,4539745,2254547362,14157679,865191000,43302882,52619680,6526476,3031447003,https://projects.propublica.org/nonprofits/download-xml?object_id=202241369349314264
2020-06-30,2019-07-01,95-1664112,990,2019,28664400,667163,69797,101580483,8009725,0,1916026,2321097295,11385079,21844701,49733633,42036355,8009725,2254547362,https://projects.propublica.org/nonprofits/download-xml?object_id=202121349349307792
2019-06-30,2018-07-01,95-1664112,990,2018,28998466,644643,101946,39094918,6258559,0,1372429,2273708092,6105044,138213928,46910069,43761141,6258559,2321097295,https://projects.propublica.org/nonprofits/download-xml?object_id=202041979349307414
2018-06-30,2017-07-01,95-1664112,990,2017,22889399,950615,104929,81625876,5536338,0,1427099,2165209130,21021215,180783841,47267799,39899989,6138942,2273707456,https://projects.propublica.org/nonprofits/download-xml?object_id=201921359349307477
2017-06-30,2016-07-01,95-1664112,990,2016,21028611,1000637,127564,96635833,5061599,0,1598960,1984930636,14166379,260729229,42012074,47192095,5412945,2165209130,https://projects.propublica.org/nonprofits/download-xml?object_id=201841359349313359
2016-06-30,2015-07-01,95-1664112,990,2015,11326277,992569,111027,75729465,4622534,0,2083220,2098703679,30394700,-61712701,38481044,39127776,4846222,1984930636,https://projects.propublica.org/nonprofits/download-xml?object_id=201711589349301356
2015-06-30,2014-07-01,95-1664112,990,2014,9299905,725589,256534,150033028,4388021,0,1601257,2101460736,5616516,72807561,37208521,39359128,4613485,2098703679,https://projects.propublica.org/nonprofits/download-xml?object_id=201641339349302479
2014-06-30,2013-07-01,95-1664112,990,2013,10986362,719646,229002,135951938,3959425,0,2317062,1823441482,17608574,332505986,33971825,33293045,4830436,2101460736,https://projects.propublica.org/nonprofits/download-xml?object_id=201511339349306106
,,95-1664112,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201431349349306883
2023-06-30,2022-07-01,16-0743209,990,2022,226282694,0,2723964,77383778,954576,0,369336784,2590832044,29588224,177746789,12611356,116521917,0,2669033784,https://projects.propublica.org/nonprofits/download-xml?object_id=202411369349308096
2022-06-30,2021-07-01,16-0743209,990,2021,15840942,0,6918391,187627116,1491616,0,367732283,3008813319,38522208,-340893864,24856769,90752850,0,2590832044,https://projects.propublica.org/nonprofits/download-xml?object_id=202331329349307748
2021-06-30,2020-07-01,16-0743209,990,2020,106764489,0,3281418,115482474,3863752,0,434452574,2202355252,43511528,898469551,23462884,112060128,,3008813319,https://projects.propublica.org/nonprofits/download-xml?object_id=202231339349308693
2020-06-30,2019-07-01,16-0743209,990,2019,24660662,0,2433137,97735012,1637906,0,393630809,2172986026,36359341,76356841,21672376,61674580,,2202355252,https://projects.propublica.org/nonprofits/download-xml?object_id=202131349349304868
2019-06-30,2018-07-01,16-0743209,990,2018,102525700,0,2141762,147554483,69805638,0,320729801,2108597452,39807016,128306491,20918930,82806003,,2172986026,https://projects.propublica.org/nonprofits/download-xml?object_id=202021969349305657
2018-06-30,2017-07-01,16-0743209,990,2017,90557485,0,1842546,107786723,58341346,0,303770585,1980167484,39128228,194112646,18661772,86149134,,2108597452,https://projects.propublica.org/nonprofits/download-xml?object_id=201901349349310300
2017-06-30,2016-07-01,16-0743209,990,2016,76818710,0,4087082,118348361,41456601,0,290987714,1797727143,38987413,251558457,17912500,90193029,,1980167484,https://projects.propublica.org/nonprofits/download-xml?object_id=201801349349301675
2016-06-30,2015-07-01,16-0743209,990,2015,61142873,0,23113154,60061197,51926895,0,289812893,1922892466,31412694,-61083382,16617676,78876959,,1797727143,https://projects.propublica.org/nonprofits/download-xml?object_id=201731329349305733
2015-06-30,2014-07-01,16-0743209,990,2014,84752454,0,23633654,64150476,62743894,0,248243118,1883514930,45895617,83377311,14971593,74923799,,1922892466,https://projects.propublica.org/nonprofits/download-xml?object_id=201601349349301625
2014-06-30,2013-07-01,16-0743209,990,2013,77602668,0,26024617,39535840,36306000,0,253309304,1613500847,55721494,301335737,13729609,73313539,,1883514930,https://projects.propublica.org/nonprofits/download-xml?object_id=201621349349301252
,,16-0743209,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201411329349301846
2023-06-30,2022-07-01,23-1352683,990,2022,126967588,381553,61756,-16368608,6916000,0,4714000,2725238000,2501000,111475000,21404000,90565000,6916000,2720329000,https://projects.propublica.org/nonprofits/download-xml?object_id=202401299349304150
2022-06-30,2021-07-01,23-1352683,990,2021,115934699,402200,86190,148314870,7803000,0,2596000,2899312000,7044000,-73564000,19511000,80240000,7803000,2725238000,https://projects.propublica.org/nonprofits/download-xml?object_id=202301319349301635
2021-06-30,2020-07-01,23-1352683,990,2020,103595877,335841,51930,140999016,7873000,0,6045000,2103670000,6803000,906280000,21650000,87918000,7873000,2899312000,https://projects.propublica.org/nonprofits/download-xml?object_id=202221329349304652
2020-06-30,2019-07-01,23-1352683,990,2019,100958905,665734,58124,70128490,6456000,0,2627000,2131553000,8468000,81291000,21543000,89643000,6456000,2103670000,https://projects.propublica.org/nonprofits/download-xml?object_id=202131309349301143
2019-06-30,2018-07-01,23-1352683,990,2018,98281781,564741,86688,98356367,8320000,0,1809000,2115768000,4278000,146528000,21794000,104907000,8320000,2131553000,https://projects.propublica.org/nonprofits/download-xml?object_id=202031329349300908
2018-06-30,2017-07-01,23-1352683,990,2017,88549261,552364,102084,95053968,6579000,0,2096000,1955532000,3895000,244813000,18537000,63356000,6579000,2115768000,https://projects.propublica.org/nonprofits/download-xml?object_id=201941339349303184
2017-06-30,2016-07-01,23-1352683,990,2016,85782728,277198,101096,18527695,6637000,0,2254000,1746962000,35302000,257710000,17720000,60085000,6637000,1955532000,https://projects.propublica.org/nonprofits/download-xml?object_id=201811349349301231
2016-06-30,2015-07-01,23-1352683,990,2015,81193896,240781,105509,-3273297,6779000,0,2270000,1845799000,9830000,-26573000,16857000,58458000,6779000,1746962000,https://projects.propublica.org/nonprofits/download-xml?object_id=201731289349302403
2015-06-30,2014-07-01,23-1352683,990,2014,71120270,445851,219182,12890006,6207000,0,2203000,1876669000,14599000,50581000,13897000,46748000,6207000,1874997000,https://projects.propublica.org/nonprofits/download-xml?object_id=201601319349300200
2014-06-30,2013-07-01,23-1352683,990,2013,66112167,521782,256832,79190576,5974000,0,2068000,1634685000,10999000,293055000,13225000,42871000,5974000,1876669000,https://projects.propublica.org/nonprofits/download-xml?object_id=201640539349300719
,,23-1352683,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201421289349302207
2024-05-31,2023-06-01,75-0827465,990,2023,59032883,997293,13474441,143527974,43026434,0,17290297,2503568505,31808888,175982855,22077836,73736247,0,2615546165,https://projects.propublica.org/nonprofits/download-xml?object_id=202541019349300244
2023-05-31,2022-06-01,75-0827465,990,2022,64329332,1280932,18978373,81667760,33664160,0,16682755,2440718306,55789555,92981496,19984448,65936404,0,2503568505,https://projects.propublica.org/nonprofits/download-xml?object_id=202411039349301426
2022-05-31,2021-06-01,75-0827465,990,2021,57186764,1319246,15380468,216037580,55886355,0,38120188,2001835819,52191533,464341855,19080345,58570556,0,2440718306,https://projects.propublica.org/nonprofits/download-xml?object_id=202341019349301504
2021-05-31,2020-06-01,75-0827465,990,2020,45711528,1120209,10197200,150150666,52215610,0,13273716,1584157954,16060699,474999867,17462819,55919882,0,2001835819,https://projects.propublica.org/nonprofits/download-xml?object_id=202221019349301207
2020-05-31,2019-06-01,75-0827465,990,2019,40871924,1098437,9701907,125834458,42737957,0,10820929,1620663695,19415827,14685921,15569518,55037971,0,1584157954,https://projects.propublica.org/nonprofits/download-xml?object_id=202131049349301323
2019-05-31,2018-06-01,75-0827465,990,2018,42588432,701721,12180788,129894625,33559950,0,9742217,1595947026,16922168,76856639,14701948,54360190,0,1620663695,https://projects.propublica.org/nonprofits/download-xml?object_id=202041009349300024
2018-05-31,2017-06-01,75-0827465,990,2017,35977314,758632,19712182,127400288,38063478,0,9282670,1471789593,15574425,176446720,13427659,54436053,0,1595947026,https://projects.propublica.org/nonprofits/download-xml?object_id=201911029349300421
2017-05-31,2016-06-01,75-0827465,990,2016,25872072,1018462,12906830,108679185,28632498,0,11388349,1407057002,19579000,111041393,12757522,53130280,0,1471789593,https://projects.propublica.org/nonprofits/download-xml?object_id=201821039349301102
2016-05-31,2015-06-01,75-0827465,990,2015,18690372,966593,15281027,34598192,23645773,0,10067587,1486003520,17127930,-35128139,11281254,49665055,,1407057002,https://projects.propublica.org/nonprofits/download-xml?object_id=201721039349300317
2015-05-31,2014-06-01,75-0827465,990,2014,17757646,825214,32840010,84265168,21468867,0,10878583,1393241318,16447929,133486273,10393957,46778043,,1486003520,https://projects.propublica.org/nonprofits/download-xml?object_id=201641059349301029
2014-05-31,2013-06-01,75-0827465,990,2013,17584982,993082,35309121,53345722,0,0,11487862,1256029327,14406762,179244836,10174622,46264985,,1393241318,https://projects.propublica.org/nonprofits/download-xml?object_id=201511049349301106
,,75-0827465,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201421059349300432
2023-06-30,2022-07-01,42-0680387,990,2022,15747048,-79641,3475355,202675493,2867298,12771,2604272,2484418726,4208060,112841771,30729969,64887936,,2505850652,https://projects.propublica.org/nonprofits/download-xml?object_id=202441309349301774
2022-06-30,2021-07-01,42-0680387,990,2021,7709439,-1362,3049561,202769651,5822015,16261,4128874,2931550076,6186324,-370756701,26743262,55817711,,2484418726,https://projects.propublica.org/nonprofits/download-xml?object_id=202311329349303386
2021-06-30,2020-07-01,42-0680387,990,2020,5952091,-29465,924366,168321614,4496,9447,2832622,2090750442,3632433,924779487,23640134,63972152,,2931550076,https://projects.propublica.org/nonprofits/download-xml?object_id=202211319349301701
2020-06-30,2019-07-01,42-0680387,990,2019,9667064,-19308,1120081,76491461,6708,17412,2638936,2069953401,7007029,96291971,23390030,59111929,,2090750442,https://projects.propublica.org/nonprofits/download-xml?object_id=202101309349303120
2019-06-30,2018-07-01,42-0680387,990,2018,18337359,-66155,1902325,125009683,7670,13826,934980,1991605132,3278055,154954634,21720418,58164002,,2069953401,https://projects.propublica.org/nonprofits/download-xml?object_id=202021339349301532
2018-06-30,2017-07-01,42-0680387,990,2017,17953112,-99470,1268281,98949398,9200,23910,1222677,1871046105,13951066,184388901,21647276,56133664,,1991605132,https://projects.propublica.org/nonprofits/download-xml?object_id=201901309349303300
2017-06-30,2016-07-01,42-0680387,990,2016,33035539,-25028,1010195,79363510,5621,23535,1130678,1648783045,3652010,301514594,21397837,61505707,,1871046105,https://projects.propublica.org/nonprofits/download-xml?object_id=201811249349300131
2016-06-30,2015-07-01,42-0680387,990,2015,14581187,-19214,888617,26608368,6557,16563,834270,1787775377,7470389,-72644504,20391636,53426581,,1648783045,https://projects.propublica.org/nonprofits/download-xml?object_id=201731249349301628
2015-06-30,2014-07-01,42-0680387,990,2014,14017708,-55061,1173677,142280469,4614,22748,922518,1829521187,8741242,8756394,18964822,40278624,,1787775377,https://projects.propublica.org/nonprofits/download-xml?object_id=201600909349300905
2014-06-30,2013-07-01,42-0680387,990,2013,31542663,-26740,6233758,92232135,10636,18235,1054204,1553629299,15363250,316328638,17934254,37865746,,1829521187,https://projects.propublica.org/nonprofits/download-xml?object_id=201500909349300430
,,42-0680387,,,,,,,,,,,,,,,,,https://projects.propublica.org/nonprofits/download-xml?object_id=201430739349300018
2023-06-30,2022-07-01,53-0196584,990,2022,23133531,47875622,3688022,53533578,7700727,1174145,10870962,2340361286,124856902,168141977,13836909,89447395,7634218,2522441643,https://projects.propublica.org/nonprofits/download-xml?object_id=202421319349303217
