university_name,undergrad_enrollment,grad_enrollment,year,total_enrollment
The Colleges of Law at Ventura,null,151,2018,151
The Continents States University,null,null,2018,null
The Cooper Union for the Advancement of Science and Art,858,94,2018,952
The Evergreen State College,3018,309,2018,3327
The Juilliard School,585,357,2018,942
The King's University,362,298,2018,660
The Master's University and Seminary,1387,670,2018,2057
The Modern College of Design,210,null,2018,210
The New England Conservatory of Music,468,370,2018,838
The New School,7436,3108,2018,10544
The North Coast College,109,null,2018,109
The Rockefeller University,null,239,2018,239
The School of Architecture,null,19,2018,19
The Seattle School of Theology & Psychology,null,242,2018,242
The Southern Baptist Theological Seminary,983,3138,2018,4121
The Southwestern Baptist Theological Seminary,null,null,2018,null
The University of Alabama,33028,5362,2018,38390
The University of Findlay,3614,1256,2018,4870
The University of Montana,8306,2656,2018,10962
The University of Montana-Western,1508,null,2018,1508
The University of Olivet,1055,43,2018,1098
The University of Tampa,8441,892,2018,9333
The University of Tennessee Health Science Center,359,2921,2018,3280
The University of Tennessee Southern,901,9,2018,910
The University of Tennessee-Chattanooga,10239,1399,2018,11638
The University of Tennessee-Knoxville,22815,6079,2018,28894
The University of Tennessee-Martin,6674,374,2018,7048
The University of Texas at Arlington,34472,13427,2018,47899
The University of Texas at Austin,40804,11028,2018,51832
The University of Texas at Dallas,19872,8883,2018,28755
The University of Texas at El Paso,21464,3687,2018,25151
The University of Texas at San Antonio,27988,4276,2018,32264
The University of Texas at Tyler,7333,2873,2018,10206
The University of Texas Health Science Center at Houston,717,4618,2018,5335
The University of Texas Health Science Center at San Antonio,774,2518,2018,3292
The University of Texas MD Anderson Cancer Center,356,20,2018,376
The University of Texas Medical Branch at Galveston,753,2590,2018,3343
The University of Texas Permian Basin,4744,1090,2018,5834
The University of Texas Rio Grande Valley,24678,3966,2018,28644
The University of the South,1698,87,2018,1785
The Wright Institute,null,483,2018,483
Theological Seminary of the Reformed Episcopal Church,null,17,2018,17
Thiel College,742,null,2018,742
Thomas Aquinas College,407,null,2018,407
Thomas College,1645,122,2018,1767
Thomas Edison State University,10217,717,2018,10934
Thomas Jefferson School of Law,null,377,2018,377
Thomas Jefferson University,3550,4236,2018,7786
Thomas M Cooley Law School,null,1325,2018,1325
Thomas More College of Liberal Arts,90,null,2018,90
Thomas More University,2047,206,2018,2253
Thomas University,717,593,2018,1310
Tiffin University,2223,822,2018,3045
Toccoa Falls College,1656,null,2018,1656
Torah Temimah Talmudical Seminary,21,null,2018,21
Tougaloo College,726,10,2018,736
Touro University,5982,5818,2018,11800
Touro University California,null,1435,2018,1435
Touro University Nevada,65,1414,2018,1479
Touro University Worldwide,509,1163,2018,1672
Towson University,19818,3105,2018,22923
Toyota Technological Institute at Chicago,null,35,2018,35
Transylvania University,987,null,2018,987
Trevecca Nazarene University,2311,1616,2018,3927
Tri-State Bible College,45,6,2018,51
Trine University,4190,130,2018,4320
Trine University-Regional/Non-Traditional Campuses,303,349,2018,652
Trinidad State College,1542,null,2018,1542
Trinity Baptist College,339,15,2018,354
Trinity Bible College and Graduate School,183,70,2018,253
Trinity Christian College,1063,68,2018,1131
Trinity College,2182,53,2018,2235
Trinity College of Florida,205,null,2018,205
Trinity College of Nursing & Health Sciences,210,7,2018,217
Trinity Episcopal School for Ministry,null,163,2018,163
Trinity International University-Florida,144,79,2018,223
Trinity International University-Illinois,703,1072,2018,1775
Trinity Law School,null,308,2018,308
Trinity University,2474,163,2018,2637
Trinity Valley Community College,4245,null,2018,4245
Trinity Washington University,1390,392,2018,1782
Trocaire College,1349,null,2018,1349
Troy University,13452,3529,2018,16981
Truckee Meadows Community College,10861,null,2018,10861
Truett McConnell University,2919,82,2018,3001
Truman State University,5504,349,2018,5853
Tufts University,5643,5943,2018,11586
Tulane University,7920,4726,2018,12646
Turtle Mountain Community College,573,null,2018,573
Tusculum University,1407,328,2018,1735
Tuskegee University,2529,497,2018,3026
Tyler Junior College,10106,null,2018,10106
Union Adventist University,720,87,2018,807
Union Bible College,61,null,2018,61
Union College,1119,214,2018,1333
Union College,2197,null,2018,2197
Union Institute & University,657,268,2018,925
Union Presbyterian Seminary,null,146,2018,146
Union Theological Seminary in the City of New York,null,242,2018,242
Union University,2184,1063,2018,3247
United International College,84,null,2018,84
United Lutheran Seminary,null,323,2018,323
United States Air Force Academy,4336,null,2018,4336
United States Coast Guard Academy,1071,null,2018,1071
United States Merchant Marine Academy,996,19,2018,1015
United States Military Academy,4589,null,2018,4589
United States Naval Academy,4512,null,2018,4512
United States Sports Academy,305,241,2018,546
United States University,73,717,2018,790
United Talmudical Seminary,1988,768,2018,2756
United Theological Seminary,null,407,2018,407
United Theological Seminary of the Twin Cities,null,97,2018,97
United Tribes Technical College,429,null,2018,429
Unitek College,3774,null,2018,3774
Unity Environmental University,735,79,2018,814
Universal Technology College of Puerto Rico,295,null,2018,295
Universidad Adventista de las Antillas,1166,87,2018,1253
Universidad Ana G. Mendez-Carolina Campus,8794,1536,2018,10330
Universidad Ana G. Mendez-Cupey Campus,9331,2265,2018,11596
Universidad Ana G. Mendez-Gurabo Campus,12734,2965,2018,15699
Universidad Central de Bayamon,1180,219,2018,1399
Universidad Central Del Caribe,127,362,2018,489
Universidad del Sagrado Corazon,4239,230,2018,4469
Universidad Pentecostal Mizpa,240,9,2018,249
Universidad Politecnica de Puerto Rico,3514,717,2018,4231
Universidad Teologica del Caribe,265,111,2018,376
University at Albany,13598,4346,2018,17944
University at Buffalo,21607,9896,2018,31503
University of Advancing Technology,730,28,2018,758
University of Akron Main Campus,15634,3097,2018,18731
University of Alabama at Birmingham,13836,8087,2018,21923
University of Alabama in Huntsville,7671,2065,2018,9736
University of Alaska Anchorage,13885,759,2018,14644
University of Alaska Fairbanks,6429,975,2018,7404
University of Alaska Southeast,2010,256,2018,2266
University of Antelope Valley,847,47,2018,894
University of Arizona,34153,9944,2018,44097
University of Arkansas,23386,4392,2018,27778
University of Arkansas at Little Rock,7715,2800,2018,10515
University of Arkansas at Monticello,2810,301,2018,3111
University of Arkansas at Pine Bluff,2473,106,2018,2579
University of Arkansas for Medical Sciences,606,2152,2018,2758
University of Arkansas Grantham,6707,1352,2018,8059
University of Arkansas-Fort Smith,6531,26,2018,6557
University of Baltimore,2569,2472,2018,5041
University of Bridgeport,3415,2070,2018,5485
University of California College of the Law-San Francisco,null,1002,2018,1002
University of California-Berkeley,30853,11648,2018,42501
University of California-Davis,30718,7449,2018,38167
University of California-Irvine,29736,6296,2018,36032
University of California-Los Angeles,31577,12960,2018,44537
University of California-Merced,7881,663,2018,8544
University of California-Riverside,20581,3341,2018,23922
University of California-San Diego,30285,7602,2018,37887
University of California-San Francisco,null,3114,2018,3114
University of California-Santa Barbara,23070,2906,2018,25976
University of California-Santa Cruz,17792,1908,2018,19700
University of Central Arkansas,9425,1752,2018,11177
University of Central Florida,58821,9654,2018,68475
University of Central Missouri,9300,2187,2018,11487
University of Central Oklahoma,13840,1553,2018,15393
University of Charleston,1930,693,2018,2623
The University of Chicago,6632,10370,2018,17002
University of Cincinnati-Blue Ash College,4870,null,2018,4870
University of Cincinnati-Clermont College,3017,null,2018,3017
University of Cincinnati-Main Campus,26762,11124,2018,37886
University of Colorado Boulder,30159,6522,2018,36681
University of Colorado Colorado Springs,10951,2172,2018,13123
University of Colorado Denver/Anschutz Medical Campus,16443,9202,2018,25645
University of Connecticut,19133,8279,2018,27412
University of Connecticut-Avery Point,571,null,2018,571
University of Connecticut-Hartford Campus,1432,null,2018,1432
University of Connecticut-Stamford,1977,null,2018,1977
University of Connecticut-Waterbury Campus,865,null,2018,865
University of Dallas,1471,1071,2018,2542
University of Dayton,8617,2624,2018,11241
University of Delaware,19956,4164,2018,24120
University of Denver,5801,6151,2018,11952
University of Detroit Mercy,2880,2231,2018,5111
University of Dubuque,1969,416,2018,2385
University of East-West Medicine,null,227,2018,227
University of Evansville,2243,200,2018,2443
University of Florida,35491,16727,2018,52218
University of Florida-Online,3585,null,2018,3585
University of Fort Lauderdale,69,14,2018,83
University of Georgia,29611,9041,2018,38652
University of Guam,3421,323,2018,3744
University of Hartford,5000,1770,2018,6770
University of Hawaii at Hilo,2816,590,2018,3406
University of Hawaii at Manoa,12968,4742,2018,17710
University of Hawaii Maui College,3092,null,2018,3092
University of Hawaii-West Oahu,3128,null,2018,3128
University of Health Sciences and Pharmacy in St. Louis,384,811,2018,1195
University of Holy Cross,923,332,2018,1255
University of Houston,38348,7976,2018,46324
University of Houston-Clear Lake,6212,2749,2018,8961
University of Houston-Downtown,12680,1585,2018,14265
University of Houston-Victoria,3251,1135,2018,4386
University of Idaho,9568,2273,2018,11841
University of Illinois Chicago,20783,10900,2018,31683
University of Illinois Springfield,2814,1761,2018,4575
University of Illinois Urbana-Champaign,33915,15787,2018,49702
University of Indianapolis,4508,1427,2018,5935
University of Iowa,23989,7667,2018,31656
University of Jamestown,893,196,2018,1089
University of Kansas,19596,8094,2018,27690
University of Kentucky,22136,7046,2018,29182
University of La Verne,5149,2915,2018,8064
University of Louisiana at Lafayette,15073,2050,2018,17123
University of Louisiana at Monroe,7788,1503,2018,9291
University of Louisville,15641,5789,2018,21430
University of Lynchburg,2086,995,2018,3081
University of Maine,9365,2039,2018,11404
University of Maine at Augusta,4128,null,2018,4128
University of Maine at Farmington,1736,304,2018,2040
University of Maine at Fort Kent,1791,null,2018,1791
University of Maine at Presque Isle,1553,null,2018,1553
University of Management and Technology,321,186,2018,507
University of Mary,2534,1262,2018,3796
University of Mary Hardin-Baylor,3397,491,2018,3888
University of Mary Washington,4410,317,2018,4727
University of Maryland Eastern Shore,2597,596,2018,3193
University of Maryland Global Campus,47253,13350,2018,60603
University of Maryland  Baltimore,909,5868,2018,6777
University of Maryland-Baltimore County,11260,2507,2018,13767
University of Maryland-College Park,30762,10438,2018,41200
University of Massachusetts Chan Medical School,null,1185,2018,1185
University of Massachusetts Global,4246,4490,2018,8736
University of Massachusetts-Amherst,23515,7078,2018,30593
University of Massachusetts-Boston,12714,3450,2018,16164
University of Massachusetts-Dartmouth,6841,1672,2018,8513
University of Massachusetts-Lowell,14004,4238,2018,18242
University of Memphis,17233,4225,2018,21458
University of Miami,11117,6214,2018,17331
University of Michigan-Ann Arbor,30318,16398,2018,46716
University of Michigan-Dearborn,7177,2283,2018,9460
University of Michigan-Flint,6097,1435,2018,7532
University of Minnesota-Crookston,2810,null,2018,2810
University of Minnesota-Duluth,9977,1063,2018,11040
University of Minnesota-Morris,1554,null,2018,1554
University of Minnesota-Rochester,533,null,2018,533
University of Minnesota-Twin Cities,34633,16310,2018,50943
University of Mississippi,18007,4449,2018,22456
University of Missouri-Columbia,22484,7359,2018,29843
University of Missouri-Kansas City,11319,5056,2018,16375
University of Missouri-St Louis,13460,2981,2018,16441
University of Mobile,1676,209,2018,1885
University of Montevallo,2281,331,2018,2612
University of Mount Olive,2991,217,2018,3208
University of Mount Saint Vincent,1636,225,2018,1861
University of Mount Union,2116,193,2018,2309
University of Nebraska at Kearney,4484,1843,2018,6327
University of Nebraska at Omaha,12430,3001,2018,15431
University of Nebraska Medical Center,869,3103,2018,3972
University of Nebraska-Lincoln,20830,4990,2018,25820
University of Nevada-Las Vegas,25282,5175,2018,30457
University of Nevada-Reno,17930,3533,2018,21463
University of New England,4449,3561,2018,8010
University of New Hampshire at Manchester,727,23,2018,750
University of New Hampshire College of Professional Studies Online,1736,289,2018,2025
University of New Hampshire-Franklin Pierce School of Law,null,275,2018,275
University of New Hampshire-Main Campus,12815,2483,2018,15298
University of New Haven,5092,1775,2018,6867
University of New Mexico-Main Campus,18621,5698,2018,24319
University of New Orleans,6588,1563,2018,8151
University of North Alabama,6153,1335,2018,7488
University of North Carolina Asheville,3743,19,2018,3762
University of North Carolina at Chapel Hill,19117,10894,2018,30011
University of North Carolina at Charlotte,24387,5323,2018,29710
University of North Carolina at Greensboro,16641,3465,2018,20106
University of North Carolina at Pembroke,6069,1068,2018,7137
University of North Carolina School of the Arts,890,152,2018,1042
University of North Carolina Wilmington,14452,2295,2018,16747
University of North Dakota,10519,3328,2018,13847
University of North Florida,14583,2193,2018,16776
University of North Georgia,19041,681,2018,19722
University of North Texas,31375,6866,2018,38241
University of North Texas at Dallas,2949,808,2018,3757
University of North Texas Health Science Center,null,2276,2018,2276
University of Northern Colorado,10232,3205,2018,13437
University of Northern Iowa,9536,1651,2018,11187
University of Northwestern Ohio,3343,77,2018,3420
University of Northwestern-St Paul,3443,180,2018,3623
University of Notre Dame,8617,3990,2018,12607
University of Oklahoma-Health Sciences Center,760,2366,2018,3126
University of Oklahoma-Norman Campus,22152,6412,2018,28564
University of Oregon,19101,3543,2018,22644
"University of Pennsylvania, Trustees of the",11851,14009,2018,25860
University of Phoenix-Arizona,74061,21716,2018,95777
University of Phoenix-California,5641,1311,2018,6952
University of Phoenix-Hawaii,313,38,2018,351
University of Phoenix-Nevada,275,45,2018,320
University of Phoenix-Texas,744,146,2018,890
University of Pikeville,1499,818,2018,2317
University of Pittsburgh-Bradford,1281,null,2018,1281
University of Pittsburgh-Greensburg,1508,null,2018,1508
University of Pittsburgh-Johnstown,2600,null,2018,2600
University of Pittsburgh-Pittsburgh Campus,19330,9343,2018,28673
University of Portland,3787,493,2018,4280
University of Providence,876,162,2018,1038
University of Puerto Rico at Cayey,3107,null,2018,3107
University of Puerto Rico at Ponce,2828,null,2018,2828
University of Puerto Rico-Aguadilla,3139,null,2018,3139
University of Puerto Rico-Arecibo,3638,null,2018,3638
University of Puerto Rico-Bayamon,4190,null,2018,4190
University of Puerto Rico-Carolina,3392,null,2018,3392
University of Puerto Rico-Humacao,3300,null,2018,3300
University of Puerto Rico-Mayaguez,12321,903,2018,13224
University of Puerto Rico-Medical Sciences,346,1907,2018,2253
University of Puerto Rico-Rio Piedras,11657,3275,2018,14932
University of Puerto Rico-Utuado,842,null,2018,842
University of Puget Sound,2364,302,2018,2666
University of Redlands,3014,1584,2018,4598
University of Rhode Island,14778,2999,2018,17777
University of Richmond,3295,707,2018,4002
University of Rio Grande,1666,38,2018,1704
University of Rochester,6535,5282,2018,11817
University of Saint Francis-Fort Wayne,1778,421,2018,2199
University of Saint Joseph,903,1562,2018,2465
University of Saint Katherine,196,null,2018,196
University of Saint Mary,732,522,2018,1254
University of Saint Mary of the Lake,null,231,2018,231
University of San Diego,5855,3218,2018,9073
University of San Francisco,6704,4009,2018,10713
University of Science and Arts of Oklahoma,852,null,2018,852
University of Scranton,3729,1557,2018,5286
University of Silicon Andhra,null,null,2018,null
University of Silicon Valley,595,4,2018,599
University of Sioux Falls,1319,296,2018,1615
University of South Alabama,10293,4541,2018,14834
University of South Carolina Aiken,3344,355,2018,3699
University of South Carolina Beaufort,2116,null,2018,2116
University of South Carolina-Columbia,26733,8062,2018,34795
University of South Carolina-Upstate,6036,139,2018,6175
University of South Dakota,7590,2476,2018,10066
University of South Florida,32240,11606,2018,43846
University of Southern California,19907,27403,2018,47310
University of Southern Indiana,9528,1458,2018,10986
University of Southern Maine,6390,1750,2018,8140
University of Southern Mississippi,11920,2589,2018,14509
University of St Francis,1629,2298,2018,3927
University of St Thomas,6395,3640,2018,10035
University of St Thomas,1978,1245,2018,3223
University of St. Augustine for Health Sciences,null,3775,2018,3775
University of Texas Southwestern Medical Center,null,2266,2018,2266
University of the Arts,1734,180,2018,1914
University of the Cumberlands,3262,10210,2018,13472
University of the District of Columbia,3867,377,2018,4244
University of the Incarnate Word,5558,2705,2018,8263
University of the Ozarks,872,null,2018,872
University of the Pacific,3701,2792,2018,6493
University of the People,4384,603,2018,4987
University of the Potomac-VA Campus,43,181,2018,224
University of the Potomac-Washington DC Campus,68,43,2018,111
University of the Southwest,416,535,2018,951
University of the Virgin Islands,1737,247,2018,1984
University of the West,140,151,2018,291
University of Toledo,16065,4172,2018,20237
University of Tulsa,3267,1098,2018,4365
University of Utah,24743,8280,2018,33023
University of Valley Forge,607,50,2018,657
University of Vermont,11328,2067,2018,13395
University of Virginia's College at Wise,2065,null,2018,2065
University of Virginia-Main Campus,16777,7862,2018,24639
University of Washington-Bothell Campus,5401,569,2018,5970
University of Washington-Seattle Campus,32099,15301,2018,47400
University of Washington-Tacoma Campus,4554,800,2018,5354
University of West Alabama,2154,3046,2018,5200
University of West Florida,9733,3114,2018,12847
University of West Georgia,11135,2598,2018,13733
University of West Los Angeles,5,194,2018,199
University of Western States,42,1034,2018,1076
University of Wisconsin-Eau Claire,10888,716,2018,11604
University of Wisconsin-Green Bay,8189,377,2018,8566
University of Wisconsin-La Crosse,9727,870,2018,10597
University of Wisconsin-Madison,31705,11758,2018,43463
University of Wisconsin-Milwaukee,22337,4675,2018,27012
University of Wisconsin-Milwaukee Flex,538,null,2018,538
University of Wisconsin-Oshkosh,15097,1313,2018,16410
University of Wisconsin-Parkside,4060,235,2018,4295
University of Wisconsin-Parkside Flex,5,null,2018,5
University of Wisconsin-Platteville,8123,832,2018,8955
University of Wisconsin-River Falls,5726,409,2018,6135
University of Wisconsin-Stevens Point,8771,315,2018,9086
University of Wisconsin-Stout,7577,1193,2018,8770
University of Wisconsin-Superior,2296,307,2018,2603
University of Wisconsin-Whitewater,11722,1337,2018,13059
University of Wyoming,9998,2452,2018,12450
Upper Iowa University,3741,651,2018,4392
Upstate Medical University,249,1331,2018,1580
Urbana Theological Seminary,null,null,2018,null
URBE University,null,null,2018,null
Urshan College,null,null,2018,null
Urshan Graduate School of Theology,null,87,2018,87
Ursinus College,1435,null,2018,1435
Ursuline College,631,442,2018,1073
Uta Mesivta of Kiryas Joel,1940,null,2018,1940
Utah State University,24880,3052,2018,27932
Utah Tech University,9928,22,2018,9950
Utah Valley University,39397,534,2018,39931
Utica University,3722,1474,2018,5196
Valdosta State University,8700,2511,2018,11211
Valencia College,46521,null,2018,46521
Valley City State University,1404,143,2018,1547
Valley College-Martinsburg,516,null,2018,516
Valor Christian College,313,null,2018,313
Valparaiso University,3199,587,2018,3786
Vanderbilt University,6861,5963,2018,12824
VanderCook College of Music,107,39,2018,146
Vanguard University of Southern California,1848,321,2018,2169
Vassar College,2456,null,2018,2456
Vaughn College of Aeronautics and Technology,1535,7,2018,1542
Veritas Baptist College,174,36,2018,210
Vermont College of Fine Arts,null,370,2018,370
Vermont Law and Graduate School,null,666,2018,666
Vermont State University,1632,6,2018,1638
Villa Maria College,544,null,2018,544
Villanova University,6917,4113,2018,11030
Vincennes University,17481,null,2018,17481
Virginia Beach Theological Seminary,null,29,2018,29
Virginia Commonwealth University,23693,7004,2018,30697
Virginia Military Institute,1685,null,2018,1685
Virginia Polytechnic Institute and State University,27811,6872,2018,34683
Virginia State University,3996,389,2018,4385
Virginia Union University,1193,359,2018,1552
Virginia University of Integrative Medicine,null,301,2018,301
Virginia University of Lynchburg,233,65,2018,298
Virginia Wesleyan University,1351,86,2018,1437
Visible Music College,165,7,2018,172
Viterbo University,1714,884,2018,2598
Voorhees University,491,null,2018,491
Wabash College,882,null,2018,882
Wade College,165,null,2018,165
Wagner College,1769,449,2018,2218
Wake Forest University,5225,3176,2018,8401
Walden University,8024,42336,2018,50360
Waldorf University,2636,514,2018,3150
Walla Walla Community College,3860,null,2018,3860
Walla Walla University,1636,201,2018,1837
Walnut Hill College,335,null,2018,335
Walsh College,802,1204,2018,2006
Walsh University,2027,752,2018,2779
Warner Pacific University,364,4,2018,368
Warner Pacific University Professional and Graduate Studies,321,56,2018,377
Warner University,910,206,2018,1116
Warren Wilson College,657,84,2018,741
Wartburg College,1498,null,2018,1498
Wartburg Theological Seminary,null,139,2018,139
Washburn University,5719,852,2018,6571
Washington & Jefferson College,1356,1,2018,1357
Washington Adventist University,960,171,2018,1131
Washington  Lee University,1829,394,2018,2223
Washington College,1367,null,2018,1367
Washington State Community College,1797,null,2018,1797
Washington State University,26098,5380,2018,31478
Washington University in St. Louis,7751,8101,2018,15852
Washington University of Science and Technology,72,230,2018,302
Watts College of Nursing,152,null,2018,152
Wayland Baptist University,3356,1148,2018,4504
Wayne State College,2975,658,2018,3633
Wayne State University,17574,9451,2018,27025
Waynesburg University,1330,344,2018,1674
Weatherford College,6389,null,2018,6389
Webb Institute,104,null,2018,104
Webber International University,613,81,2018,694
Weber State University,27465,782,2018,28247
Webster University,3058,8348,2018,11406
Weill Medical College of Cornell University,null,1248,2018,1248
Welch College,375,28,2018,403
Wellesley College,2534,null,2018,2534
Wells College,471,null,2018,471
Wenatchee Valley College,3444,null,2018,3444
Wentworth Institute of Technology,4341,175,2018,4516
Wesley Biblical Seminary,null,67,2018,67
Wesley Theological Seminary,null,512,2018,512
Wesleyan College,725,40,2018,765
Wesleyan University,3009,208,2018,3217
West Chester University of Pennsylvania,14567,2960,2018,17527
West Coast University-Center for Graduate Studies,null,470,2018,470
West Coast University-Dallas,792,17,2018,809
West Coast University-Los Angeles,1991,null,2018,1991
West Coast University-Miami,854,null,2018,854
West Coast University-Ontario,1671,null,2018,1671
West Coast University-Orange County,2514,910,2018,3424
West Liberty University,2225,301,2018,2526
West Los Angeles College,12990,null,2018,12990
West Texas A & M University,7376,2653,2018,10029
West Virginia Junior College-Morgantown,540,null,2018,540
West Virginia School of Osteopathic Medicine,null,841,2018,841
West Virginia State University,3571,121,2018,3692
West Virginia University,21155,5709,2018,26864
West Virginia University at Parkersburg,2403,null,2018,2403
West Virginia University Institute of Technology,1755,null,2018,1755
West Virginia Wesleyan College,1180,114,2018,1294
Westcliff University,470,1290,2018,1760
Western Carolina University,10027,1612,2018,11639
Western Colorado University,2606,428,2018,3034
Western Connecticut State University,5028,614,2018,5642
Western Governors University,88921,32516,2018,121437
Western Illinois University,6754,1748,2018,8502
Western Kentucky University,17030,2426,2018,19456
Western Michigan University,17760,4802,2018,22562
Western Michigan University Homer Stryker M.D. School of Medicine,null,307,2018,307
Western Nevada College,3327,null,2018,3327
Western New England University,2751,1029,2018,3780
Western New Mexico University,2245,1003,2018,3248
Western Oregon University,4576,609,2018,5185
Western Seminary,null,704,2018,704
Western Technical College,495,null,2018,495
Western Technical College,1162,null,2018,1162
Western Theological Seminary,null,299,2018,299
Western University of Health Sciences,null,3833,2018,3833
Western Washington University,15170,951,2018,16121
Western Wyoming Community College,3183,null,2018,3183
Westfield State University,5382,718,2018,6100
Westminster College,717,null,2018,717
Westminster College,1198,71,2018,1269
Westminster Theological Seminary,null,731,2018,731
Westminster Theological Seminary in California,null,127,2018,127
Westminster University,1968,509,2018,2477
Westmont College,1277,null,2018,1277
Whatcom Community College,4263,null,2018,4263
Wheaton College,2401,543,2018,2944
Wheaton College (Massachusetts),1760,null,2018,1760
Wheeling University,861,310,2018,1171
Whitman College,1475,null,2018,1475
Whittier College,1732,120,2018,1852
Whitworth University,2370,406,2018,2776
Whitworth University-Adult Degree Programs,294,null,2018,294
Wichita State University,13006,2772,2018,15778
Widener University,3367,3254,2018,6621
Wilberforce University,657,15,2018,672
Wiley University,1003,null,2018,1003
Wilkes University,2455,2677,2018,5132
Willamette University,1808,555,2018,2363
William & Mary,6377,2440,2018,8817
William Carey University,3249,1793,2018,5042
William James College,14,751,2018,765
William Jessup University,1257,438,2018,1695
William Jewell College,803,5,2018,808
William Paterson University of New Jersey,8735,1463,2018,10198
William Peace University,910,null,2018,910
William Penn University,1214,65,2018,1279
William Woods University,935,1367,2018,2302
Williams Baptist University,479,17,2018,496
Williams College,2095,54,2018,2149
Williamson Christian College,31,16,2018,47
Wilmington College,1260,null,2018,1260
Wilmington University,8902,5194,2018,14096
Wilson College,1044,455,2018,1499
Winebrenner Theological Seminary,null,48,2018,48
Wingate University,2726,963,2018,3689
Winona State University,7237,555,2018,7792
Winston-Salem State University,4741,449,2018,5190
Winthrop University,4887,926,2018,5813
Wisconsin Lutheran College,1085,163,2018,1248
Wisconsin School of Professional Psychology,null,76,2018,76
Wittenberg University,1757,44,2018,1801
Wofford College,1666,null,2018,1666
Women's Institute of Torah Seminary and College,72,null,2018,72
Won Institute of Graduate Studies,null,77,2018,77
Wongu University of Oriental Medicine,null,44,2018,44
Woodbury University,1051,114,2018,1165
Worcester Polytechnic Institute,4668,2206,2018,6874
Worcester State University,5380,837,2018,6217
World Mission University,137,211,2018,348
Wright State University-Lake Campus,1063,null,2018,1063
Wright State University-Main Campus,10925,3478,2018,14403
Xavier University,4995,2132,2018,7127
Xavier University of Louisiana,2478,753,2018,3231
Yakima Valley College,4456,null,2018,4456
Yale University,5964,7469,2018,13433
Yavapai College,7314,null,2018,7314
Yeshiva Bais Aharon,41,null,2018,41
Yeshiva Chemdas Hatorah,63,null,2018,63
Yeshiva College of the Nations Capital,21,null,2018,21
Yeshiva D'monsey Rabbinical College,69,6,2018,75
Yeshiva Derech Chaim,88,51,2018,139
Yeshiva Gedola Tiferes Yaakov Yitzchok,null,null,2018,null
Yeshiva Gedola Tiferes Yerachmiel,128,null,2018,128
Yeshiva Gedolah Imrei Yosef D'spinka,146,null,2018,146
Yeshiva Gedolah Keren Hatorah,147,null,2018,147
Yeshiva Gedolah Kesser Torah,81,null,2018,81
Yeshiva Gedolah of Cliffwood,84,null,2018,84
Yeshiva Gedolah of Greater Detroit,58,7,2018,65
Yeshiva Gedolah of Woodlake Village,null,null,2018,null
Yeshiva Gedolah Shaarei Shmuel,77,null,2018,77
Yeshiva Gedolah Tiferes Boruch,63,null,2018,63
Yeshiva Gedolah Zichron Leyma,23,null,2018,23
Yeshiva Karlin Stolin,147,null,2018,147
Yeshiva Kollel Tifereth Elizer,94,null,2018,94
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,33,null,2018,33
Yeshiva of Kasho,null,null,2018,null
Yeshiva of Machzikai Hadas,427,null,2018,427
Yeshiva of Nitra Rabbinical College,194,23,2018,217
Yeshiva of Ocean,null,null,2018,null
Yeshiva of the Telshe Alumni,101,null,2018,101
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,155,null,2018,155
Yeshiva Ohr Naftoli,18,null,2018,18
Yeshiva Ohr Yisrael,38,null,2018,38
Yeshiva Shaar Ephraim,109,null,2018,109
Yeshiva Shaarei Torah of Rockland,78,null,2018,78
Yeshiva Sholom Shachna,92,null,2018,92
Yeshiva Toras Chaim,240,null,2018,240
Yeshiva University,2728,3751,2018,6479
Yeshiva Yesoda Hatorah Vetz Chaim,null,null,2018,null
Yeshiva Yesodei Hatorah,46,null,2018,46
Yeshiva Zichron Aryeh,21,null,2018,21
Yeshivah Gedolah Rabbinical College,34,null,2018,34
Yeshivas Be'er Yitzchok,61,null,2018,61
Yeshivas Emek Hatorah,46,null,2018,46
Yeshivas Novominsk,159,null,2018,159
Yeshivas Sanz Klauzenburg,null,null,2018,null
Yeshivat Hechal Shemuel,null,null,2018,null
Yeshivath Beth Moshe,32,1,2018,33
Yeshivath Shaar Hatorah,69,21,2018,90
Yeshivath Viznitz,492,193,2018,685
Yeshivath Zichron Moshe,178,37,2018,215
Yo San University of Traditional Chinese Medicine,null,128,2018,128
York College of Pennsylvania,4050,267,2018,4317
York University,400,40,2018,440
Young Harris College,1425,null,2018,1425
Youngstown State University,11442,1165,2018,12607
Zane State College,2275,null,2018,2275
A T Still University of Health Sciences,null,3629,2023,3629
Aaniiih Nakoda College,133,null,2023,133
Abilene Christian University,3188,1926,2023,5114
Abilene Christian University-Undergraduate Online,918,null,2023,918
Abraham Baldwin Agricultural College,3768,null,2023,3768
Abraham Lincoln University,49,117,2023,166
Academy College,118,null,2023,118
Academy for Five Element Acupuncture,null,55,2023,55
Academy for Jewish Religion,null,62,2023,62
Academy for Jewish Religion California,null,40,2023,40
Academy of Art University,4191,2129,2023,6320
Academy of Chinese Culture and Health Sciences,null,122,2023,122
Acupuncture and Integrative Medicine College-Berkeley,null,119,2023,119
Acupuncture and Massage College,63,117,2023,180
Adams State University,1576,1374,2023,2950
Adelphi University,5124,2282,2023,7406
