university_name,undergrad_enrollment,grad_enrollment,year,total_enrollment
Capital University,2504,722,2019,3226
Capitol Technology University,400,340,2019,740
Career Networks Institute,385,null,2019,385
Careers Unlimited,179,null,2019,179
Caribbean University-Bayamon,676,268,2019,944
Caribbean University-Carolina,265,25,2019,290
Caribbean University-Ponce,479,178,2019,657
Caribbean University-Vega Baja,144,9,2019,153
Carleton College,2115,null,2019,2115
Carlow University,1298,724,2019,2022
Carnegie Mellon University,6618,7562,2019,14180
Carolina Christian College,50,14,2019,64
Carolina College of Biblical Studies,166,14,2019,180
Carolina University,348,320,2019,668
Carolinas College of Health Sciences,476,null,2019,476
Carrington College-Sacramento,3261,null,2019,3261
Carroll College,1216,15,2019,1231
Carroll University,2960,489,2019,3449
Carson-Newman University,1840,885,2019,2725
Carthage College,2638,104,2019,2742
Casa Loma College-Los Angeles,162,null,2019,162
Cascadia College,3387,null,2019,3387
Case Western Reserve University,5383,6491,2019,11874
Catawba College,1324,null,2019,1324
Catholic Distance University,78,97,2019,175
Catholic Theological Union at Chicago,null,254,2019,254
CBD College,788,null,2019,788
Cedar Crest College,1216,310,2019,1526
Cedarville University,3879,423,2019,4302
CEM College-Humacao,217,null,2019,217
CEM College-San Juan,342,null,2019,342
Centenary College of Louisiana,549,25,2019,574
Centenary University,1193,488,2019,1681
Center for Advanced Studies On Puerto Rico and the Caribbean,null,416,2019,416
Centra College,369,null,2019,369
Central Baptist College,666,null,2019,666
Central Christian College of Kansas,677,null,2019,677
Central Christian College of the Bible,204,null,2019,204
Central College,1163,null,2019,1163
Central Connecticut State University,9045,2109,2019,11154
Central Methodist University-College of Graduate and Extended Studies,3502,319,2019,3821
Central Methodist University-College of Liberal Arts and Sciences,1145,null,2019,1145
Central Michigan University,14627,4735,2019,19362
Central Ohio Technical College,3469,null,2019,3469
Central Penn College,1027,27,2019,1054
Central State University,2033,null,2019,2033
Central Washington University,11111,547,2019,11658
Central Wyoming College,1946,null,2019,1946
Central Yeshiva Beth Joseph,21,null,2019,21
Central Yeshiva Tomchei Tmimim Lubavitz,609,92,2019,701
Centralia College,3077,null,2019,3077
Centre College,1411,null,2019,1411
Centura College-Chesapeake,144,null,2019,144
Chadron State College,1923,484,2019,2407
Chamberlain University-Arizona,641,null,2019,641
Chamberlain University-California,255,null,2019,255
Chamberlain University-Florida,952,null,2019,952
Chamberlain University-Georgia,1145,null,2019,1145
Chamberlain University-Illinois,14673,13068,2019,27741
Chamberlain University-Indiana,222,null,2019,222
Chamberlain University-Louisiana,208,null,2019,208
Chamberlain University-Michigan,338,null,2019,338
Chamberlain University-Missouri,523,null,2019,523
Chamberlain University-Nevada,384,null,2019,384
Chamberlain University-New Jersey,789,null,2019,789
Chamberlain University-North Carolina,187,null,2019,187
Chamberlain University-Ohio,637,null,2019,637
Chamberlain University-Texas,1002,null,2019,1002
Chamberlain University-Virginia,478,null,2019,478
Chaminade University of Honolulu,1572,595,2019,2167
Champion Christian College,80,null,2019,80
Champlain College,3748,637,2019,4385
Chapman University,7505,2345,2019,9850
Charles R Drew University of Medicine and Science,198,550,2019,748
Charleston School of Law,null,612,2019,612
Charleston Southern University,2884,593,2019,3477
Charlotte Christian College and Theological Seminary,45,34,2019,79
Charter College,2474,null,2019,2474
Charter Oak State College,1547,64,2019,1611
Chatham University,1408,1029,2019,2437
Chemeketa Community College,9347,null,2019,9347
Chestnut Hill College,1197,403,2019,1600
Cheyney University of Pennsylvania,616,null,2019,616
CHI Health School of Radiologic Technology,16,null,2019,16
Chicago State University,2108,931,2019,3039
Chicago Theological Seminary,null,242,2019,242
Chipola College,1939,null,2019,1939
Chowan University,1259,null,2019,1259
Christ Mission College,46,null,2019,46
Christian Brothers University,1642,326,2019,1968
Christian Theological Seminary,null,145,2019,145
Christopher Newport University,4837,82,2019,4919
Church Divinity School of the Pacific,null,75,2019,75
Cincinnati College of Mortuary Science,92,null,2019,92
Cincinnati State Technical and Community College,7890,null,2019,7890
Citadel Military College of South Carolina,2923,844,2019,3767
City College-Hollywood,245,null,2019,245
City University of Seattle,807,1153,2019,1960
City Vision University,70,13,2019,83
Claflin University,1986,84,2019,2070
Claremont Graduate University,null,1950,2019,1950
Claremont Lincoln University,null,254,2019,254
Claremont McKenna College,1343,3,2019,1346
Claremont School of Theology,null,331,2019,331
Clark Atlanta University,3318,602,2019,3920
Clark College,9233,null,2019,9233
Clark State College,5669,null,2019,5669
"Clark University, Trustees of",2349,1149,2019,3498
Clarke University,685,219,2019,904
Clarks Summit University,536,235,2019,771
Clarkson College,595,513,2019,1108
Clarkson University,3081,1220,2019,4301
Clayton  State University,6368,511,2019,6879
Clear Creek Baptist Bible College,123,null,2019,123
Cleary University,462,148,2019,610
Clemson University,20195,5627,2019,25822
Cleveland Institute of Art,645,null,2019,645
Cleveland Institute of Music,230,143,2019,373
Cleveland State University,11564,3869,2019,15433
Cleveland University-Kansas City,74,516,2019,590
Clinton College,190,null,2019,190
Clover Park Technical College,3973,null,2019,3973
Coastal Carolina University,9760,724,2019,10484
Coe College,1430,null,2019,1430
Coker University,977,136,2019,1113
"Colby College, the President and Trustees of",2003,null,2019,2003
Colby-Sawyer College,851,4,2019,855
Colegio Universitario de San Juan,1059,null,2019,1059
Colgate Rochester Crozer Divinity School,null,69,2019,69
Colgate University,2980,12,2019,2992
College for Creative Studies,1480,53,2019,1533
College of Athens,null,null,2019,null
College of Biblical Studies-Houston,460,null,2019,460
College of Central Florida,6605,null,2019,6605
College of Charleston,9600,945,2019,10545
College of Coastal Georgia,3535,null,2019,3535
College of Menominee Nation,191,null,2019,191
College of Micronesia-FSM,1903,null,2019,1903
College of Our Lady of the Elms,1123,372,2019,1495
College of Saint Benedict,1748,null,2019,1748
College of Saint Mary,808,242,2019,1050
College of Southern Idaho,7288,null,2019,7288
College of Southern Nevada,33942,null,2019,33942
College of Staten Island CUNY,11700,1082,2019,12782
College of the Atlantic,355,5,2019,360
College of the Holy Cross,2963,null,2019,2963
College of the Mainland,4687,null,2019,4687
College of the Marshall Islands,985,null,2019,985
College of the Ozarks,1546,null,2019,1546
College Unbound,163,null,2019,163
Collin County Community College District,35132,null,2019,35132
Colorado Chinese Medicine University,null,95,2019,95
Colorado Christian University,6539,1048,2019,7587
The Colorado College,2098,25,2019,2123
Colorado Mesa University,9239,134,2019,9373
Colorado Mountain College,5636,null,2019,5636
Colorado School of Mines,5156,1472,2019,6628
Colorado State University Global,8114,4556,2019,12670
Colorado State University Pueblo,4310,2771,2019,7081
Colorado State University-Fort Collins,25789,7637,2019,33426
Colorado Technical University-Colorado Springs,23430,3802,2019,27232
Columbia Basin College,7280,null,2019,7280
Columbia Central University-Caguas,897,111,2019,1008
Columbia College,9387,526,2019,9913
Columbia College,1102,141,2019,1243
Columbia College Chicago,6708,239,2019,6947
Columbia International University,806,843,2019,1649
Columbia Southern University,14357,5670,2019,20027
Columbia Theological Seminary,null,160,2019,160
"Columbia University, Trustees of",8221,23235,2019,31456
Columbus College of Art & Design,1053,45,2019,1098
Columbus State University,6501,1376,2019,7877
Commonwealth University of Pennsylvania,null,null,2019,null
Community College of Denver,8232,null,2019,8232
Conception Seminary College,47,null,2019,47
Concord University,1570,316,2019,1886
Concorde Career College-Aurora,423,null,2019,423
Concorde Career College-Kansas City,508,null,2019,508
Concordia College at Moorhead,2010,32,2019,2042
Concordia Seminary,null,593,2019,593
Concordia Theological Seminary,null,313,2019,313
Concordia University Ann Arbor,961,211,2019,1172
Concordia University Texas,1828,690,2019,2518
Concordia University-Chicago,1589,4617,2019,6206
Concordia University-Irvine,1738,2173,2019,3911
Concordia University-Nebraska,2226,477,2019,2703
Concordia University-Saint Paul,3125,2012,2019,5137
Concordia University-Wisconsin,3309,2468,2019,5777
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,179,null,2019,179
Connecticut College,1861,null,2019,1861
Converse University,808,647,2019,1455
Conway School of Landscape Design,null,17,2019,17
Coppin State University,2383,341,2019,2724
Corban University,992,154,2019,1146
Cornell College,1020,null,2019,1020
Cornell University,15043,8984,2019,24027
Cornerstone University,1504,494,2019,1998
Cornish College of the Arts,602,null,2019,602
Cottey College,256,null,2019,256
Covenant College,946,43,2019,989
Covenant Theological Seminary,null,522,2019,522
Cox College,728,228,2019,956
Cranbrook Academy of Art,null,136,2019,136
Creighton University,4472,4349,2019,8821
Criswell College,174,52,2019,226
Crowley's Ridge College,187,null,2019,187
Crown College,1160,362,2019,1522
Culinary Institute of America,3012,87,2019,3099
Culver-Stockton College,971,39,2019,1010
Cumberland University,2279,271,2019,2550
CUNY Bernard M Baruch College,15482,3197,2019,18679
CUNY Brooklyn College,14970,2841,2019,17811
CUNY City College,13030,2786,2019,15816
CUNY Graduate School and University Center,2498,6005,2019,8503
CUNY Hunter College,17121,6072,2019,23193
CUNY John Jay College of Criminal Justice,13746,2134,2019,15880
CUNY Lehman College,13002,2141,2019,15143
CUNY Medgar Evers College,5798,null,2019,5798
CUNY New York City College of Technology,17036,null,2019,17036
CUNY Queens College,16866,3057,2019,19923
CUNY School of Law,null,626,2019,626
CUNY York College,8116,221,2019,8337
Curry College,2312,207,2019,2519
Curtis Institute of Music,131,42,2019,173
Cypress College,15679,null,2019,15679
D'Youville  University,1609,1439,2019,3048
Daemen University,1709,894,2019,2603
